Season,Matchday,Opponent,Minute,Player,Outcome,Distance,BodyPart,Notes,SCA1,SCA1Event,SCA2,SCA2Event
2017/18,2,Everton,58,David Silva,Blocked,30,Left Foot,Half volley,Kevin De Bruyne,Shot,,
2017/18,2,Everton,71,Bernardo Silva,Off Target,15,Left Foot,Volley,David Silva,Pass (Live),Sergio Agüero,Pass (Live)
2017/18,2,Everton,72,Raheem Sterling,Off Target,36,Right Foot,,David Silva,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,2,Everton,74,Raheem Sterling,Off Target,13,Right Foot,,Sergio Agüero,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,2,Everton,75,Kevin De Bruyne,Blocked,21,Left Foot,,Sergio Agüero,Pass (Live),David Silva,Pass (Live)
2017/18,2,Everton,77,Danilo,Saved,15,Left Foot,,Raheem Sterling,Pass (Live),Danilo,Pass (Live)
2017/18,2,Everton,82,Raheem Sterling,Goal,16,Right Foot,Volley,,,,
2017/18,2,Everton,84,Sergio Agüero,Wayward,8,Right Foot,Overhead kick,Danilo,Pass (Live),Bernardo Silva,Pass (Live)
2017/18,3,Bournemouth,15,Nicolás Otamendi,Off Target,13,Right Foot,Half volley,Kevin De Bruyne,Pass (Dead),,
2017/18,3,Bournemouth,20,Raheem Sterling,Saved,27,Right Foot,,Benjamin Mendy,Pass (Live),Bernardo Silva,Pass (Live)
2017/18,3,Bournemouth,21,Gabriel Jesus,Goal,12,Right Foot,,David Silva,Pass (Live),Gabriel Jesus,Pass (Dead)
2017/18,3,Bournemouth,24,Gabriel Jesus,Off Target,9,Right Foot,Half volley,Benjamin Mendy,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,3,Bournemouth,25,Danilo,Blocked,16,Left Foot,Half volley,Kevin De Bruyne,Pass (Live),David Silva,Pass (Live)
2017/18,3,Bournemouth,25,David Silva,Off Target,22,Left Foot,Half volley,Bernardo Silva,Pass (Live),Danilo,Shot
2017/18,3,Bournemouth,27,Danilo,Saved,10,Right Foot,,David Silva,Pass (Live),,
2017/18,3,Bournemouth,32,Bernardo Silva,Saved,18,Left Foot,,,,,
2017/18,3,Bournemouth,44,Fernandinho,Saved,10,Right Foot,,Gabriel Jesus,Pass (Live),Fernandinho,Pass (Live)
2017/18,3,Bournemouth,55,Raheem Sterling,Blocked,15,Left Foot,Half volley,Benjamin Mendy,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,3,Bournemouth,71,Fernandinho,Saved,23,Right Foot,,Fernandinho,Dribble,David Silva,Pass (Live)
2017/18,3,Bournemouth,72,Sergio Agüero,Saved,18,Right Foot,,,,,
2017/18,3,Bournemouth,74,Gabriel Jesus,Blocked,21,Right Foot,,Sergio Agüero,Pass (Live),Fernandinho,Pass (Live)
2017/18,3,Bournemouth,74,Nicolás Otamendi,Woodwork,7,Head,,Kevin De Bruyne,Pass (Dead),Gabriel Jesus,Shot
2017/18,3,Bournemouth,84,David Silva,Off Target,12,Left Foot,,,,,
2017/18,3,Bournemouth,86,Sergio Agüero,Off Target,25,Right Foot,Free kick,Raheem Sterling,Fouled,Raheem Sterling,Fouled
2017/18,3,Bournemouth,90+2,Raheem Sterling,Off Target,25,Right Foot,Half volley,,,,
2017/18,3,Bournemouth,90+7,Raheem Sterling,Goal,12,Right Foot,Deflected,Danilo,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,4,Liverpool,4,Gabriel Jesus,Off Target,14,Head,,Kevin De Bruyne,Pass (Dead),Kyle Walker,Fouled
2017/18,4,Liverpool,7,Kevin De Bruyne,Saved,27,Right Foot,,,,,
2017/18,4,Liverpool,13,Fernandinho,Saved,31,Right Foot,,Sergio Agüero,Pass (Live),Kyle Walker,Pass (Live)
2017/18,4,Liverpool,24,Sergio Agüero,Goal,12,Right Foot,Open goal,Sergio Agüero,Dribble,Kevin De Bruyne,Pass (Live)
2017/18,4,Liverpool,34,Gabriel Jesus,Saved,6,Right Foot,,Gabriel Jesus,Dribble,,
2017/18,4,Liverpool,35,John Stones,Saved,9,Left Foot,,Gabriel Jesus,Pass (Live),Kevin De Bruyne,Pass (Dead)
2017/18,4,Liverpool,45+6,Gabriel Jesus,Goal,6,Head,,Kevin De Bruyne,Pass (Live),Kevin De Bruyne,Dribble
2017/18,4,Liverpool,53,Gabriel Jesus,Goal,11,Left Foot,,Sergio Agüero,Pass (Live),Fernandinho,Pass (Live)
2017/18,4,Liverpool,65,Kevin De Bruyne,Off Target,14,Left Foot,,Leroy Sané,Pass (Live),Danilo,Pass (Live)
2017/18,4,Liverpool,77,Leroy Sané,Goal,9,Left Foot,,Eliaquim Mangala,Pass (Live),Leroy Sané,Pass (Live)
2017/18,4,Liverpool,83,Sergio Agüero,Off Target,14,Right Foot,,,,,
2017/18,4,Liverpool,87,Sergio Agüero,Saved,4,Right Foot,,Leroy Sané,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,4,Liverpool,90+1,Leroy Sané,Goal,24,Left Foot,,Kyle Walker,Pass (Live),Benjamin Mendy,Pass (Live)
2017/18,5,Watford,1,David Silva,Blocked,6,Right Foot,,Raheem Sterling,Pass (Live),Kyle Walker,Pass (Live)
2017/18,5,Watford,6,Fernandinho,Off Target,9,Head,,Kevin De Bruyne,Pass (Dead),Kevin De Bruyne,Pass (Live)
2017/18,5,Watford,7,Benjamin Mendy,Off Target,30,Left Foot,,,,,
2017/18,5,Watford,9,Fernandinho,Saved,27,Right Foot,,,,,
2017/18,5,Watford,11,Kevin De Bruyne,Off Target,23,Right Foot,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,5,Watford,16,Sergio Agüero,Off Target,25,Right Foot,Lob,Kevin De Bruyne,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,5,Watford,18,David Silva,Blocked,15,Right Foot,,Kevin De Bruyne,Pass (Live),John Stones,Pass (Live)
2017/18,5,Watford,20,Sergio Agüero,Off Target,14,Left Foot,Volley,,,,
2017/18,5,Watford,21,Sergio Agüero,Blocked,28,Right Foot,,,,,
2017/18,5,Watford,23,Raheem Sterling,Wayward,27,Right Foot,Volley,,,,
2017/18,5,Watford,27,Sergio Agüero,Goal,11,Head,,Kevin De Bruyne,Pass (Dead),John Stones,Fouled
2017/18,5,Watford,31,Sergio Agüero,Goal,2,Right Foot,Open goal,David Silva,Pass (Live),Gabriel Jesus,Pass (Live)
2017/18,5,Watford,36,Kevin De Bruyne,Saved,13,Right Foot,,Raheem Sterling,Pass (Live),Kyle Walker,Pass (Live)
2017/18,5,Watford,38,Gabriel Jesus,Goal,9,Right Foot,,Sergio Agüero,Pass (Live),Kyle Walker,Pass (Live)
2017/18,5,Watford,41,Kevin De Bruyne,Off Target,29,Right Foot,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Dead)
2017/18,5,Watford,54,Sergio Agüero,Off Target,26,Right Foot,,Benjamin Mendy,Pass (Live),Sergio Agüero,Pass (Live)
2017/18,5,Watford,56,Gabriel Jesus,Blocked,16,Right Foot,,Raheem Sterling,Pass (Live),Raheem Sterling,Fouled
2017/18,5,Watford,58,Benjamin Mendy,Off Target,20,Left Foot,,David Silva,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,5,Watford,61,John Stones,Blocked,10,Head,,Kevin De Bruyne,Pass (Dead),David Silva,Pass (Live)
2017/18,5,Watford,63,David Silva,Saved,16,Left Foot,,Sergio Agüero,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,5,Watford,63,Nicolás Otamendi,Goal,10,Head,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,5,Watford,75,Raheem Sterling,Off Target,13,Right Foot,,Sergio Agüero,Pass (Live),Bernardo Silva,Pass (Live)
2017/18,5,Watford,80,Leroy Sané,Off Target,11,Left Foot,,İlkay Gündoğan,Pass (Live),Nicolás Otamendi,Pass (Live)
2017/18,5,Watford,81,Sergio Agüero,Goal,10,Right Foot,,Kyle Walker,Pass (Live),,
2017/18,5,Watford,84,Leroy Sané,Blocked,14,Left Foot,,,,,
2017/18,5,Watford,85,Raheem Sterling,Off Target,20,Left Foot,,Bernardo Silva,Pass (Live),Leroy Sané,Pass (Dead)
2017/18,5,Watford,89,Raheem Sterling (pen),Goal,12,Right Foot,,Raheem Sterling,Fouled,Leroy Sané,Pass (Live)
2017/18,5,Watford,90+1,İlkay Gündoğan,Blocked,25,Right Foot,,Benjamin Mendy,Pass (Live),Bernardo Silva,Pass (Live)
2017/18,5,Watford,90+3,Sergio Agüero,Saved,26,Right Foot,,Raheem Sterling,Pass (Live),Raheem Sterling,Dribble
2017/18,6,Crystal Palace,6,Benjamin Mendy,Blocked,22,Left Foot,,David Silva,Pass (Live),,
2017/18,6,Crystal Palace,11,Leroy Sané,Off Target,22,Left Foot,,Kevin De Bruyne,Dribble,Kevin De Bruyne,Dribble
2017/18,6,Crystal Palace,12,Benjamin Mendy,Blocked,19,Left Foot,,,,,
2017/18,6,Crystal Palace,12,Nicolás Otamendi,Blocked,14,Right Foot,Half volley,Benjamin Mendy,Shot,,
2017/18,6,Crystal Palace,13,Fernandinho,Saved,7,Right Foot,,Nicolás Otamendi,Shot,,
2017/18,6,Crystal Palace,16,Raheem Sterling,Saved,21,Right Foot,,Kevin De Bruyne,Pass (Live),Fernandinho,Pass (Live)
2017/18,6,Crystal Palace,33,Sergio Agüero,Off Target,7,Left Foot,,Leroy Sané,Pass (Live),David Silva,Pass (Live)
2017/18,6,Crystal Palace,37,Sergio Agüero,Blocked,17,Left Foot,,,,,
2017/18,6,Crystal Palace,37,Sergio Agüero,Off Target,6,Head,,David Silva,Pass (Live),Leroy Sané,Pass (Live)
2017/18,6,Crystal Palace,42,David Silva,Off Target,8,Head,,Fernandinho,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,6,Crystal Palace,44,Leroy Sané,Goal,4,Left Foot,,Leroy Sané,Dribble,David Silva,Pass (Live)
2017/18,6,Crystal Palace,45+2,John Stones,Wayward,13,Head,,Kevin De Bruyne,Pass (Dead),David Silva,Pass (Live)
2017/18,6,Crystal Palace,45+2,Leroy Sané,Blocked,13,Left Foot,Volley,John Stones,Shot,,
2017/18,6,Crystal Palace,46,Raheem Sterling,Blocked,17,Right Foot,,Leroy Sané,Pass (Live),David Silva,Pass (Live)
2017/18,6,Crystal Palace,47,Fernandinho,Blocked,23,Right Foot,,Leroy Sané,Pass (Live),David Silva,Pass (Live)
2017/18,6,Crystal Palace,47,Kyle Walker,Blocked,35,Right Foot,,Fernandinho,Shot,,
2017/18,6,Crystal Palace,51,Raheem Sterling,Goal,8,Right Foot,,Leroy Sané,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,6,Crystal Palace,54,Raheem Sterling,Off Target,8,Right Foot,Half volley,Sergio Agüero,Pass (Live),David Silva,Pass (Live)
2017/18,6,Crystal Palace,58,Sergio Agüero,Saved,9,Left Foot,,Sergio Agüero,Dribble,David Silva,Pass (Live)
2017/18,6,Crystal Palace,59,Raheem Sterling,Goal,3,Left Foot,"Open goal, Half volley",Sergio Agüero,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,6,Crystal Palace,60,Leroy Sané,Saved,10,Left Foot,,Sergio Agüero,Pass (Live),,
2017/18,6,Crystal Palace,62,Danilo,Off Target,13,Right Foot,Half volley,,,,
2017/18,6,Crystal Palace,79,Sergio Agüero,Goal,7,Head,,Leroy Sané,Pass (Live),Fabian Delph,Pass (Live)
2017/18,6,Crystal Palace,89,Fabian Delph,Goal,21,Right Foot,,David Silva,Pass (Live),Fabian Delph,Pass (Live)
2017/18,7,Chelsea,4,Kevin De Bruyne,Saved,34,Right Foot,Free kick,Raheem Sterling,Fouled,Raheem Sterling,Dribble
2017/18,7,Chelsea,10,Fernandinho,Blocked,35,Right Foot,,Gabriel Jesus,Pass (Live),Fabian Delph,Pass (Live)
2017/18,7,Chelsea,12,David Silva,Off Target,21,Left Foot,,Kyle Walker,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,7,Chelsea,19,Fabian Delph,Blocked,25,Left Foot,Half volley,,,,
2017/18,7,Chelsea,20,John Stones,Off Target,13,Head,,Kevin De Bruyne,Pass (Live),David Silva,Pass (Live)
2017/18,7,Chelsea,29,David Silva,Saved,15,Left Foot,,Leroy Sané,Pass (Live),David Silva,Pass (Live)
2017/18,7,Chelsea,31,Nicolás Otamendi,Off Target,9,Head,,Kevin De Bruyne,Pass (Dead),,
2017/18,7,Chelsea,41,Gabriel Jesus,Off Target,11,Head,,Kevin De Bruyne,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,7,Chelsea,45,Fernandinho,Saved,11,Head,Diving header,Kevin De Bruyne,Pass (Dead),,
2017/18,7,Chelsea,54,Raheem Sterling,Off Target,19,Left Foot,Half volley,Kevin De Bruyne,Pass (Dead),,
2017/18,7,Chelsea,56,David Silva,Wayward,14,Left Foot,Half volley,Gabriel Jesus,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,7,Chelsea,65,Gabriel Jesus,Saved,11,Right Foot,,Kevin De Bruyne,Pass (Live),Fernandinho,Pass (Live)
2017/18,7,Chelsea,66,David Silva,Blocked,14,Right Foot,,Raheem Sterling,Pass (Live),Kyle Walker,Pass (Live)
2017/18,7,Chelsea,67,Kevin De Bruyne,Goal,22,Right Foot,,Gabriel Jesus,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,7,Chelsea,79,Raheem Sterling,Blocked,18,Left Foot,,Raheem Sterling,Dribble,Bernardo Silva,Pass (Live)
2017/18,7,Chelsea,83,Fernandinho,Off Target,17,Right Foot,,,,,
2017/18,7,Chelsea,84,Gabriel Jesus,Blocked,11,Right Foot,Volley,Raheem Sterling,Pass (Live),İlkay Gündoğan,Pass (Live)
2017/18,7,Chelsea,87,John Stones,Saved,12,Head,,Kevin De Bruyne,Pass (Dead),,
2017/18,8,Stoke,8,Leroy Sané,Off Target,8,Right Foot,Half volley,,,,
2017/18,8,Stoke,11,Raheem Sterling,Off Target,20,Right Foot,,Gabriel Jesus,Pass (Live),Fabian Delph,Pass (Live)
2017/18,8,Stoke,14,Nicolás Otamendi,Off Target,8,Head,,Fabian Delph,Pass (Live),David Silva,Pass (Live)
2017/18,8,Stoke,16,Fabian Delph,Saved,30,Left Foot,,David Silva,Pass (Live),Leroy Sané,Pass (Live)
2017/18,8,Stoke,17,Gabriel Jesus,Goal,4,Right Foot,,Kyle Walker,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,8,Stoke,19,Raheem Sterling,Goal,6,Right Foot,,Leroy Sané,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,8,Stoke,21,Raheem Sterling,Wayward,9,Head,,,,,
2017/18,8,Stoke,27,David Silva,Goal,7,Left Foot,,Raheem Sterling,Pass (Live),Leroy Sané,Pass (Live)
2017/18,8,Stoke,42,David Silva,Saved,17,Left Foot,,Raheem Sterling,Pass (Live),David Silva,Pass (Live)
2017/18,8,Stoke,45,Leroy Sané,Saved,23,Left Foot,,Fernandinho,Pass (Live),Gabriel Jesus,Pass (Live)
2017/18,8,Stoke,45+2,Kevin De Bruyne,Saved,19,Right Foot,,Leroy Sané,Pass (Live),Gabriel Jesus,Pass (Live)
2017/18,8,Stoke,45+2,Nicolás Otamendi,Wayward,9,Head,,David Silva,Pass (Dead),Kevin De Bruyne,Shot
2017/18,8,Stoke,48,Kevin De Bruyne,Saved,18,Left Foot,,Nicolás Otamendi,Pass (Live),Fernandinho,Pass (Live)
2017/18,8,Stoke,51,David Silva,Off Target,22,Left Foot,Free kick,Fernandinho,Fouled,,
2017/18,8,Stoke,55,Gabriel Jesus,Goal,10,Left Foot,,Kevin De Bruyne,Pass (Live),,
2017/18,8,Stoke,60,Fernandinho,Goal,27,Right Foot,,Fabian Delph,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,8,Stoke,62,Leroy Sané,Goal,9,Left Foot,,Kevin De Bruyne,Pass (Live),Gabriel Jesus,Pass (Live)
2017/18,8,Stoke,65,Leroy Sané,Off Target,25,Left Foot,Free kick,Raheem Sterling,Fouled,Fernandinho,Pass (Live)
2017/18,8,Stoke,74,David Silva,Off Target,24,Left Foot,,Yaya Touré,Pass (Live),İlkay Gündoğan,Pass (Live)
2017/18,8,Stoke,79,Bernardo Silva,Goal,8,Left Foot,,Raheem Sterling,Pass (Live),Yaya Touré,Pass (Live)
2017/18,8,Stoke,87,David Silva,Off Target,17,Left Foot,,Raheem Sterling,Pass (Live),İlkay Gündoğan,Pass (Live)
2017/18,9,Burnley,7,Kevin De Bruyne,Saved,24,Left Foot,,Bernardo Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,9,Burnley,14,Fabian Delph,Blocked,31,Left Foot,,Kevin De Bruyne,Pass (Dead),Kyle Walker,Pass (Live)
2017/18,9,Burnley,23,Bernardo Silva,Saved,10,Left Foot,,Leroy Sané,Pass (Live),Leroy Sané,Dribble
2017/18,9,Burnley,28,Kevin De Bruyne,Saved,9,Right Foot,,Kevin De Bruyne,Dribble,David Silva,Pass (Live)
2017/18,9,Burnley,30,Sergio Agüero (pen),Goal,12,Right Foot,,Bernardo Silva,Fouled,Kevin De Bruyne,Shot
2017/18,9,Burnley,39,Sergio Agüero,Off Target,21,Right Foot,,Sergio Agüero,Dribble,,
2017/18,9,Burnley,43,Sergio Agüero,Saved,10,Right Foot,,Kevin De Bruyne,Pass (Live),Nicolás Otamendi,Pass (Live)
2017/18,9,Burnley,45+1,David Silva,Blocked,34,Left Foot,,Kevin De Bruyne,Pass (Live),Fernandinho,Pass (Live)
2017/18,9,Burnley,45+2,Sergio Agüero,Saved,16,Left Foot,,,,,
2017/18,9,Burnley,45+2,Bernardo Silva,Blocked,10,Left Foot,,Sergio Agüero,Shot,,
2017/18,9,Burnley,56,David Silva,Off Target,25,Left Foot,,Kevin De Bruyne,Pass (Live),,
2017/18,9,Burnley,73,David Silva,Saved,6,Left Foot,,Sergio Agüero,Pass (Live),David Silva,Pass (Live)
2017/18,9,Burnley,73,Nicolás Otamendi,Goal,7,Head,Deflected,David Silva,Pass (Dead),David Silva,Shot
2017/18,9,Burnley,75,Leroy Sané,Goal,16,Left Foot,,Kevin De Bruyne,Pass (Live),Sergio Agüero,Pass (Live)
2017/18,9,Burnley,83,Gabriel Jesus,Saved,6,Right Foot,,,,,
2017/18,9,Burnley,90+3,Leroy Sané,Off Target,11,Left Foot,,İlkay Gündoğan,Pass (Live),John Stones,Pass (Live)
2017/18,10,West brom,4,Fabian Delph,Off Target,26,Left Foot,,David Silva,Pass (Live),Bernardo Silva,Pass (Live)
2017/18,10,West brom,7,Leroy Sané,Blocked,16,Right Foot,Half volley,,,,
2017/18,10,West brom,9,Fabian Delph,Off Target,25,Left Foot,,Bernardo Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,10,West brom,10,Leroy Sané,Goal,11,Left Foot,,Fernandinho,Pass (Live),,
2017/18,10,West brom,12,David Silva,Saved,20,Left Foot,,Leroy Sané,Pass (Live),,
2017/18,10,West brom,15,Fernandinho,Goal,28,Right Foot,,Leroy Sané,Pass (Live),Fernandinho,Pass (Live)
2017/18,10,West brom,26,David Silva,Off Target,7,Head,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
2017/18,10,West brom,40,Leroy Sané,Off Target,22,Left Foot,Free kick,Bernardo Silva,Fouled,Fernandinho,Pass (Live)
2017/18,10,West brom,44,Kevin De Bruyne,Off Target,26,Left Foot,,David Silva,Pass (Live),Leroy Sané,Pass (Live)
2017/18,10,West brom,49,Kyle Walker,Off Target,13,Right Foot,,Bernardo Silva,Pass (Live),Fernandinho,Pass (Live)
2017/18,10,West brom,52,Kevin De Bruyne,Blocked,32,Right Foot,Free kick,David Silva,Fouled,Bernardo Silva,Pass (Live)
2017/18,10,West brom,56,Kevin De Bruyne,Off Target,25,Right Foot,,Leroy Sané,Pass (Live),Gabriel Jesus,Pass (Live)
2017/18,10,West brom,64,Raheem Sterling,Goal,5,Left Foot,Open goal,Kyle Walker,Pass (Live),David Silva,Pass (Live)
2017/18,10,West brom,85,Kevin De Bruyne,Off Target,11,Right Foot,,Raheem Sterling,Pass (Live),David Silva,Pass (Live)
2017/18,10,West brom,87,David Silva,Saved,11,Left Foot,,Raheem Sterling,Pass (Live),İlkay Gündoğan,Pass (Live)
2017/18,11,Arsenal,2,Sergio Agüero,Off Target,11,Right Foot,,Kevin De Bruyne,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,11,Arsenal,18,Kevin De Bruyne,Saved,20,Right Foot,Half volley,,,,
2017/18,11,Arsenal,19,Kevin De Bruyne,Goal,19,Left Foot,,Fernandinho,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,11,Arsenal,28,Fabian Delph,Blocked,32,Left Foot,,,,,
2017/18,11,Arsenal,50,Sergio Agüero (pen),Goal,12,Right Foot,,Raheem Sterling,Fouled,Fernandinho,Pass (Live)
2017/18,11,Arsenal,68,Leroy Sané,Blocked,12,Left Foot,Volley,Raheem Sterling,Pass (Live),David Silva,Pass (Live)
2017/18,11,Arsenal,68,Gabriel Jesus,Saved,6,Right Foot,,,,,
2017/18,11,Arsenal,69,John Stones,Off Target,9,Head,,Kevin De Bruyne,Pass (Dead),David Silva,Pass (Live)
2017/18,11,Arsenal,74,Gabriel Jesus,Goal,5,Right Foot,,David Silva,Pass (Live),Fernandinho,Pass (Live)
2017/18,12,Leicester,21,David Silva,Saved,13,Left Foot,,Leroy Sané,Pass (Live),Fabian Delph,Pass (Live)
2017/18,12,Leicester,21,Fabian Delph,Off Target,24,Left Foot,Volley,,,,
2017/18,12,Leicester,40,Raheem Sterling,Off Target,25,Left Foot,Half volley,,,,
2017/18,12,Leicester,41,David Silva,Off Target,20,Left Foot,,Raheem Sterling,Pass (Live),Fabian Delph,Pass (Live)
2017/18,12,Leicester,43,Eliaquim Mangala,Off Target,11,Left Foot,Half volley,Vincent Kompany,Pass (Live),Leroy Sané,Pass (Live)
2017/18,12,Leicester,45,Gabriel Jesus,Goal,6,Right Foot,Open goal,David Silva,Pass (Live),Raheem Sterling,Pass (Live)
2017/18,12,Leicester,49,Kevin De Bruyne,Goal,24,Left Foot,,Leroy Sané,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,12,Leicester,50,Gabriel Jesus,Saved,5,Right Foot,Volley,Kyle Walker,Pass (Live),David Silva,Pass (Live)
2017/18,12,Leicester,50,Gabriel Jesus,Saved,4,Right Foot,,Gabriel Jesus,Shot,,
2017/18,12,Leicester,52,David Silva,Off Target,10,Left Foot,,Leroy Sané,Pass (Live),Gabriel Jesus,Pass (Live)
2017/18,12,Leicester,55,Kevin De Bruyne,Off Target,32,Right Foot,,Kyle Walker,Pass (Live),Fabian Delph,Pass (Live)
2017/18,12,Leicester,64,David Silva,Blocked,14,Left Foot,,Raheem Sterling,Pass (Live),Leroy Sané,Pass (Live)
2017/18,12,Leicester,89,David Silva,Blocked,20,Left Foot,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
2017/18,13,Huddersfield Town,7,Vincent Kompany,Off Target,10,Head,,Kevin De Bruyne,Pass (Dead),,
2017/18,13,Huddersfield Town,16,Fernandinho,Blocked,33,Right Foot,,,,,
2017/18,13,Huddersfield Town,19,Vincent Kompany,Blocked,13,Head,,Kevin De Bruyne,Pass (Dead),,
2017/18,13,Huddersfield Town,24,Sergio Agüero,Off Target,17,Right Foot,Volley,,,,
2017/18,13,Huddersfield Town,37,Nicolás Otamendi,Off Target,24,Right Foot,,Sergio Agüero,Pass (Live),Nicolás Otamendi,Pass (Live)
2017/18,13,Huddersfield Town,38,Sergio Agüero,Saved,15,Left Foot,Half volley,David Silva,Pass (Live),Nicolás Otamendi,Pass (Live)
2017/18,13,Huddersfield Town,38,Raheem Sterling,Off Target,7,Right Foot,Half volley,Sergio Agüero,Shot,,
2017/18,13,Huddersfield Town,43,Fernandinho,Off Target,13,Right Foot,,Raheem Sterling,Pass (Live),Kyle Walker,Pass (Live)
2017/18,13,Huddersfield Town,46,Raheem Sterling,Saved,9,Right Foot,Half volley,Fernandinho,Pass (Live),David Silva,Pass (Live)
